source,source_key,entity_type,release_window,window_start,window_end,entity_id,num_docs,inferred_log_docs,log_doc_rate
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Drill,28,22,0.785714
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Dubbo,30,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache EventMesh,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Fineract,35,10,0.285714
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Freemarker,4,2,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Gobblin,31,6,0.193548
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Gora,2,2,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache HAWQ,2,2,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Hop,35,35,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Hop (Retired),64,4,0.062500
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Hudi,198,57,0.287879
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache InLong,62,2,0.032258
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache IoTDB,52,30,0.576923
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Jena,18,18,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Knox,12,9,0.750000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Liminal (Retired),3,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache MADlib,16,10,0.625000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Marvin,2,2,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Maven Resource Bundles (Moved to GitHub Issues),1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache MetaModel (Retired),5,5,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Nemo,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Nemo (Retired),8,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache NiFi,146,75,0.513699
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache NiFi MiNiFi ,3,3,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache NiFi MiNiFi C++,32,11,0.343750
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache NuttX,5,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Ozone,202,85,0.420792
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache PLC4X,17,11,0.647059
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Roller,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache S4 (Retired),17,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Science Data Analytics Platform,7,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Sedona,4,2,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache ServiceComb,19,4,0.210526
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Storm,38,12,0.315789
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Submarine,23,5,0.217391
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Tez,21,19,0.904762
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Tomcat Maven Plugin,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Unomi,47,1,0.021277
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Wayang,4,1,0.250000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache YuniKorn,161,15,0.093168
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AppFormer,17,6,0.352941
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Aries,6,3,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Artemis,42,10,0.238095
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Artifactory Binary Repository,71,71,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlas,37,31,0.837838
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlas SQL,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Browser DevTools,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Cache,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Cloud,45,4,0.088889
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Atlassian Connect,3,0,0.000000
